127.0.0.1 - - [22/Mar/2021:16:14:17 +0900] "POST /wp-cron.php?doing_wp_cron=1616397257.6489849090576171875000 HTTP/1.0" 200 -
127.0.0.1 - - [22/Mar/2021:16:14:18 +0900] "GET / HTTP/1.0" 200 8390
127.0.0.1 - - [22/Mar/2021:16:14:33 +0900] "GET / HTTP/1.0" 200 8372
127.0.0.1 - - [22/Mar/2021:16:14:34 +0900] "GET /wp-includes/css/dist/block-library/style.min.css?ver=5.7 HTTP/1.0" 200 58200
127.0.0.1 - - [22/Mar/2021:16:14:34 +0900] "GET /wp-includes/css/dist/block-library/theme.min.css?ver=5.7 HTTP/1.0" 200 2714
127.0.0.1 - - [22/Mar/2021:16:14:34 +0900] "GET /wp-includes/js/wp-embed.min.js?ver=5.7 HTTP/1.0" 200 1426
127.0.0.1 - - [22/Mar/2021:16:14:34 +0900] "GET /wp-content/themes/twentytwentyone/assets/js/responsive-embeds.js?ver=1.2 HTTP/1.0" 200 1127
127.0.0.1 - - [22/Mar/2021:16:14:34 +0900] "GET /wp-content/themes/twentytwentyone/style.css?ver=1.2 HTTP/1.0" 200 155185
127.0.0.1 - - [22/Mar/2021:16:14:34 +0900] "GET /wp-includes/js/wp-emoji-release.min.js?ver=5.7 HTTP/1.0" 200 14229
127.0.0.1 - - [22/Mar/2021:16:14:34 +0900] "GET /wp-content/themes/twentytwentyone/assets/css/print.css?ver=1.2 HTTP/1.0" 200 2897
127.0.0.1 - - [22/Mar/2021:16:14:34 +0900] "GET /favicon.ico HTTP/1.0" 302 -
127.0.0.1 - - [22/Mar/2021:16:14:34 +0900] "GET /wp-includes/images/w-logo-blue-white-bg.png HTTP/1.0" 200 4119
127.0.0.1 - - [22/Mar/2021:16:14:47 +0900] "GET /wp-admin/ HTTP/1.0" 302 -
127.0.0.1 - - [22/Mar/2021:16:14:47 +0900] "GET /wp-login.php?redirect_to=http%3A%2F%2Fmysite.local%2Fwp-admin%2F&reauth=1 HTTP/1.0" 200 7171
127.0.0.1 - - [22/Mar/2021:16:14:47 +0900] "GET /wp-includes/css/dashicons.min.css?ver=5.7 HTTP/1.0" 200 59010
127.0.0.1 - - [22/Mar/2021:16:14:47 +0900] "GET /wp-includes/css/buttons.min.css?ver=5.7 HTTP/1.0" 200 5854
127.0.0.1 - - [22/Mar/2021:16:14:47 +0900] "GET /wp-admin/css/forms.min.css?ver=5.7 HTTP/1.0" 200 25291
127.0.0.1 - - [22/Mar/2021:16:14:47 +0900] "GET /wp-admin/css/l10n.min.css?ver=5.7 HTTP/1.0" 200 2477
127.0.0.1 - - [22/Mar/2021:16:14:47 +0900] "GET /wp-admin/css/login.min.css?ver=5.7 HTTP/1.0" 200 5489
127.0.0.1 - - [22/Mar/2021:16:14:47 +0900] "GET /wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2 HTTP/1.0" 200 11224
127.0.0.1 - - [22/Mar/2021:16:14:47 +0900] "GET /wp-includes/js/zxcvbn-async.min.js?ver=1.0 HTTP/1.0" 200 351
127.0.0.1 - - [22/Mar/2021:16:14:47 +0900] "GET /wp-includes/js/jquery/jquery.min.js?ver=3.5.1 HTTP/1.0" 200 89496
127.0.0.1 - - [22/Mar/2021:16:14:47 +0900] "GET /wp-includes/js/dist/hooks.min.js?ver=50e23bed88bcb9e6e14023e9961698c1 HTTP/1.0" 200 6937
127.0.0.1 - - [22/Mar/2021:16:14:47 +0900] "GET /wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=7.4.4 HTTP/1.0" 200 99310
127.0.0.1 - - [22/Mar/2021:16:14:47 +0900] "GET /wp-includes/js/dist/i18n.min.js?ver=db9a9a37da262883343e941c3731bc67 HTTP/1.0" 200 10166
127.0.0.1 - - [22/Mar/2021:16:14:47 +0900] "GET /wp-admin/js/password-strength-meter.min.js?ver=5.7 HTTP/1.0" 200 1123
127.0.0.1 - - [22/Mar/2021:16:14:47 +0900] "GET /wp-includes/js/underscore.min.js?ver=1.8.3 HTTP/1.0" 200 16057
127.0.0.1 - - [22/Mar/2021:16:14:47 +0900] "GET /wp-includes/js/wp-util.min.js?ver=5.7 HTTP/1.0" 200 1077
127.0.0.1 - - [22/Mar/2021:16:14:47 +0900] "GET /wp-admin/js/user-profile.min.js?ver=5.7 HTTP/1.0" 200 6113
127.0.0.1 - - [22/Mar/2021:16:14:47 +0900] "GET /wp-admin/images/wordpress-logo.svg?ver=20131107 HTTP/1.0" 200 1521
